lon,lat
14.29866,40.91463
14.38946,40.92087
9.491667,40.9275
9.501667,40.928333
14.36981,40.94108
16.865833,41.076944
16.78167,41.08722
16.859722,41.100556
16.766111,41.107778
16.888056,41.113611
16.78778,41.11444
16.873333,41.123333
16.84526,41.1347
16.605,41.200278
16.29167,41.23167
16.28611,41.31667
12.891731,41.451131
12.913043,41.464027
12.89333,41.47139
12.9466,41.531405
12.653293,41.595363
15.945,41.66528
12.237041,41.768234
12.223404,41.774844
12.607028,41.797881
12.568652,41.857716
12.46957,41.863993
12.34559,41.874783
12.50895,41.883075
12.541618,41.886019
12.266327,41.889451
12.475387,41.893971
12.447588,41.906356
12.548854,41.910268
12.506947,41.932892
12.469563,41.947448
12.533667,41.947654
14.993333,41.998056
14.99361,42.00111
14.44111,42.14167
11.935607,42.152456
11.9235,42.152861
11.908954,42.157856
11.742706,42.159983
11.900004,42.160966
14.13778,42.34611
14.27917,42.42139
14.1975,42.45194
14.23472,42.45639
14.21306,42.46639
14.14833,42.5175
11.11,42.7625
13.87944,42.94444
13.78472,42.99222
13.67472,43.33556
10.32972,43.55472
10.3327,43.5689
13.34194,43.59889
13.4923,43.605898
13.50861,43.61167
13.39,43.62056
13.3875,43.63333
10.41056,43.71389
10.401667,43.738889
13.01861,43.83972
12.648333,43.843889
10.245,43.883889
12.401667,43.908056
12.224722,43.9275
12.42,44.013056
8.20544,44.05259
10.097222,44.078333
12.4025,44.095833
9.8577,44.10666
9.95503,44.11094
9.91871,44.15466
8.44256,44.25306
8.44565,44.26179
8.43892,44.27253
12.332222,44.283889
8.43169,44.28709
10.430278,44.299722
9.22261,44.35173
8.41,44.37759
12.225556,44.42
12.18667,44.42861
8.70463,44.50842
8.87383,44.51859
9.36693,44.73473
8.612,44.9066
8.6232,44.9203
6.8359,45.0348
11.791111,45.039722
8.86889,45.06833
11.78333,45.07472
8.90556,45.10167
7.0501,45.1391
7.2454,45.4302
12.262222,45.499167
13.7838,45.6206
13.7875,45.623056
13.78026,45.62421
12.591667,45.630278
13.78083,45.63028
13.76608,45.64049
13.756047,45.642317
13.85497,45.64731
13.77111,45.65
13.78895,45.65439
9.12583,45.72722
13.48636,45.73162
7.03694,45.7575
13.42333,45.79944
13.5445,45.80296
9.08361,45.80444
13.52194,45.80528
13.52886,45.81001
13.26222,45.81083
8.820278,45.816944
13.271389,45.821944
13.50112,45.83643
13.30197,45.84208
13.54308,45.84299
13.616127,45.936478
13.61639,45.93694
13.393333,45.973333
8.2921,46.1276
8.2559,46.3148
10.3725,46.470278
13.47473,46.51007
10.85906,46.61947
